STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/1/18,7.83,0,0,0,19,7
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/2/18,8.05,0,0,0,26,13
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/3/18,3.13,0,0,0,30,16
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/4/18,12.53,0.76,9.8,1.2,29,19
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/5/18,12.97,0,0,7.1,19,9
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/6/18,10.96,0,0,5.9,13,6
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/7/18,6.49,0,0,5.9,18,5
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/8/18,5.82,0.01,0,5.1,31,17
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/9/18,6.71,0,0,5.1,44,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/10/18,4.25,0,0,3.9,43,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/11/18,3.13,0,0,3.1,53,41
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/12/18,6.93,0.54,0,0,61,44
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/13/18,9.62,0.05,0,0,58,19
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/14/18,8.05,0,0,0,25,15
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/15/18,8.05,0,0,0,30,16
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/16/18,4.03,0,0,0,36,25
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/17/18,6.04,0.19,0.4,0,36,22
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/18/18,7.83,0,0,0,32,18
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/19/18,5.37,0,0,0,41,24
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/20/18,8.5,0,0,0,52,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/21/18,2.91,0,0,0,50,42
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/22/18,5.37,0.01,0,0,49,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/23/18,6.26,0.3,0,0,60,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/24/18,9.4,0,0,0,44,27
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/25/18,6.71,0,0,0,34,23
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/26/18,3.8,0,0,0,38,26
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/27/18,6.49,0,0,0,56,35
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/28/18,3.8,0.21,0,0,55,46
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/29/18,9.17,0,0.1,0,47,35
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/30/18,7.61,0.11,0.9,0,36,24
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/31/18,6.71,0,0,0,33,18
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/1/18,3.8,0.05,0,0,45,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/2/18,9.17,0.18,0,0,41,17
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/3/18,7.61,0,0,0,31,16
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/4/18,4.03,0.96,0,0,46,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/5/18,7.61,0,0,0,40,26
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/6/18,4.03,0,0,0,37,26
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/7/18,6.71,0.85,0.5,0,45,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/8/18,6.71,0,0,0,33,25
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/9/18,4.92,0,0,0,39,26
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/10/18,2.24,0.58,0,0,50,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/11/18,3.13,1.21,0,0,62,45
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/12/18,7.16,0,0,0,62,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/13/18,5.59,0,0,0,38,26
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/14/18,5.37,0.08,0,0,53,35
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/15/18,5.14,0.16,0,0,62,46
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/16/18,6.93,0.09,0,0,58,36
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/17/18,4.47,0.52,4.4,0,40,28
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/18/18,5.82,0.01,0,3.1,44,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/19/18,4.25,0.04,0,0,49,36
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/20/18,6.04,0,0,0,67,47
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/21/18,5.82,0.06,0,0,78,55
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/22/18,8.28,0.17,0,0,59,37
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/23/18,6.26,0.06,0,0,42,36
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/24/18,5.37,0.08,0,0,55,42
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/25/18,6.26,0.73,0,0,44,40
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/26/18,4.47,0,0,0,52,43
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/27/18,4.47,0,0,0,56,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/28/18,5.14,0,0,0,61,42
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/1/18,5.14,0.38,0,0,60,44
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/2/18,10.51,1.86,0,0,44,34
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/3/18,11.18,0,0,0,49,36
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/4/18,9.62,0,0,0,44,34
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/5/18,7.16,0,0,0,43,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/6/18,4.7,0,0,0,47,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/7/18,10.07,1.41,3.2,0,39,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/8/18,6.04,0,0,3.1,39,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/9/18,7.83,0,0,2,42,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/10/18,8.5,0,0,0,40,31
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/11/18,5.37,0,0,0,45,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/12/18,8.5,0.08,0,0,43,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/13/18,8.5,0.28,0,0,40,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/14/18,10.96,0.01,0,0,41,31
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/15/18,10.07,0,0,0,48,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/16/18,9.84,0,0,0,40,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/17/18,7.61,0,0,0,48,27
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/18/18,6.26,0,0,0,43,28
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/19/18,5.82,0,0,0,47,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/20/18,8.95,0,0,0,39,30
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/21/18,10.74,0.99,8.2,0,39,31
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/22/18,6.71,0.06,0.2,7.9,50,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/23/18,5.59,0,0,1.2,49,35
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/24/18,6.04,0,0,0,51,35
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/25/18,8.28,0,0,0,45,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/26/18,5.82,0,0,0,50,34
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/27/18,3.36,0.01,0,0,47,34
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/28/18,4.03,0.03,0,0,52,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/29/18,2.91,0.03,0,0,53,49
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/30/18,4.03,0.03,0,0,62,44
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,3/31/18,6.49,0,0,0,58,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/1/18,6.71,0,0,0,60,43
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/2/18,5.82,0.59,5.5,5.1,43,33
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/3/18,4.7,0.26,0,0,43,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/4/18,8.5,0.04,0,0,56,40
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/5/18,8.72,0,0,0,45,34
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/6/18,4.92,0.11,0,0,62,37
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/7/18,7.38,0,0,0,49,37
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/8/18,8.5,0,0,0,46,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/9/18,5.37,0,0,0,49,32
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/10/18,4.92,0.01,0,0,51,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/11/18,3.8,0,0,0,51,37
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/12/18,5.59,0,0,0,63,46
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/13/18,5.59,0,0,0,82,60
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/14/18,7.38,0,0,0,77,44
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/15/18,12.3,0.47,0,0,44,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/16/18,11.41,2.82,0,0,60,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/17/18,8.5,0,0,0,47,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/18/18,6.49,0,0,0,55,37
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/19/18,7.61,0.15,0,0,49,38
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/20/18,8.5,0,0,0,50,37
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/21/18,5.82,0,0,0,63,39
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/22/18,4.25,0,0,0,67,44
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/23/18,4.47,0,0,0,68,46
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/24/18,4.25,0.05,0,0,66,46
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/25/18,3.8,0.95,0,0,60,52
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/26/18,4.92,0.1,0,0,70,55
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/27/18,2.46,0.05,0,0,59,51
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/28/18,3.36,0.1,0,0,68,50
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/29/18,5.82,0.08,0,0,59,47
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,4/30/18,5.14,0,0,0,51,44
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/1/18,4.25,0,0,0,80,48
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/2/18,5.37,0,0,0,90,65
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/3/18,5.37,0.02,0,0,92,70
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/4/18,3.58,0,0,0,84,72
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/5/18,4.92,0,0,0,76,61
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/6/18,3.8,0,0,0,66,56
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/7/18,2.01,0,0,0,77,54
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/8/18,1.79,0,0,0,74,53
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/9/18,2.24,0,0,0,77,54
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/10/18,2.68,0.25,0,0,66,54
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/11/18,3.58,0,0,0,73,60
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/12/18,3.58,0.22,0,0,63,51
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/13/18,2.46,0.1,0,0,54,52
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/14/18,1.34,0.03,0,0,71,52
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/15/18,2.68,0.58,0,0,88,61
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/16/18,2.46,0.34,0,0,64,56
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/17/18,1.12,0.22,0,0,71,56
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/18/18,5.82,0,0,0,67,56
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/19/18,4.03,0.65,0,0,56,49
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/20/18,3.8,0,0,0,81,56
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/21/18,2.46,0,0,0,79,58
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/22/18,0.89,0.29,0,0,68,55
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/23/18,2.46,0.29,0,0,81,59
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,5/24/18,2.91,0,0,0,83,63
