year,month,Category,Trips Per Day,Vehicles Per Day,Avg Hours Per Day Per Driver,Avg Minutes Per Trip
2010,1,Taxi,479376,12727,8.2,
2010,2,Taxi,397969,10045,8.3,11.1
2010,3,Taxi,415567,10382,8.3,11.5
2010,4,Taxi,504798,12856,8.3,
2010,5,Taxi,499374,12729,8.3,
2010,6,Taxi,494137,12671,8.3,
2010,7,Taxi,472752,12457,8.2,
2010,8,Taxi,404115,11224,8.1,11.8
2010,9,Taxi,517972,11765,8.3,12.3
2010,10,Taxi,457996,11271,8.4,12.3
2010,11,Taxi,463701,11876,8.2,12.2
2010,12,Taxi,445727,11612,8.2,12.6
2011,1,Taxi,434297,11624,8.2,11.7
2011,2,Taxi,507167,12678,8.4,11.8
2011,3,Taxi,518212,12852,8.4,11.9
2011,4,Taxi,490577,12178,8.4,12.1
2011,5,Taxi,501708,12745,8.3,12.5
2011,6,Taxi,503152,12760,8.3,12.6
2011,7,Taxi,475475,12612,8.3,12.1
2011,8,Taxi,427740,12216,8.0,12.1
2011,9,Taxi,487470,12797,8.3,13.1
2011,10,Taxi,506532,12857,8.3,12.7
2011,11,Taxi,484122,12858,8.2,12.9
2011,12,Taxi,481410,12830,8.2,12.7
2012,1,Taxi,482811,12588,8.2,11.3
2012,2,Taxi,516585,12896,8.3,11.6
2012,3,Taxi,520764,12927,8.3,12.0
2012,4,Taxi,515848,12864,8.3,12.2
2012,5,Taxi,502097,12887,8.3,12.9
2012,6,Taxi,503139,12940,8.3,12.8
2012,7,Taxi,463784,12773,8.1,12.2
2012,8,Taxi,463841,12785,8.1,12.3
2012,9,Taxi,484783,12826,8.2,12.8
2012,10,Taxi,468377,12555,8.1,12.8
2012,11,Taxi,459114,12551,7.9,12.5
2012,12,Taxi,474005,12806,8.0,12.5
2013,1,Taxi,476544,12863,8.0,11.4
2013,2,Taxi,499556,12867,8.1,11.7
2013,3,Taxi,507914,12927,8.1,12.0
2013,4,Taxi,503249,12949,8.1,12.4
2013,5,Taxi,492962,12929,8.1,13.0
2013,6,Taxi,479148,12922,8.0,13.0
2013,7,Taxi,445861,12830,7.8,12.5
2013,8,Taxi,406529,11992,6.5,11.4
2013,9,Taxi,471779,13040,7.1,12.899999999999999
2013,10,Taxi,489398,13462,7.199999999999999,12.75
2013,11,Taxi,492219,13970,7.3,12.600000000000001
2013,12,Taxi,470069,14565,7.1,12.7
2014,1,Taxi,470460,15187,6.949999999999999,12.05
2014,2,Taxi,502417,15917,7.25,12.6
2014,3,Taxi,539379,16567,7.3,12.3
2014,4,Taxi,530900,16873,7.25,12.7
2014,5,Taxi,522422,17096,7.3,13.5
2014,6,Taxi,504983,17194,7.2,13.399999999999999
2014,7,Taxi,463865,16901,6.949999999999999,12.85
2014,8,Taxi,452686,16908,7.15,12.95
2014,9,Taxi,491176,17240,7.25,13.55
2014,10,Taxi,507187,17442,7.3,13.45
2014,11,Taxi,492176,17594,7.3,13.4
2014,12,Taxi,472854,17692,7.2,13.45
2015,1,FHV,87766,12044,4.075,
2015,1,Taxi,459897,17219,7.1,13.55
2015,2,FHV,109041,13541,4.3,
2015,2,Taxi,500875,17702,7.35,14.350000000000001
2015,3,FHV,104691,13480,4.175000000000001,
2015,3,Taxi,486236,17865,7.25,14.9
2015,4,FHV,129150,17953,4.125,
2015,4,Taxi,491174,18130,7.25,14.95
2015,5,FHV,136517,15399,4.15,
2015,5,Taxi,482096,18183,7.3,15.0
2015,6,FHV,141350,19008,4.199999999999999,
2015,6,Taxi,465459,18186,7.15,15.1
2015,7,FHV,141443,18986,4.1,
2015,7,Taxi,422709,17580,7.0,14.35
2015,8,FHV,169721,22436,4.025,
2015,8,Taxi,408458,17490,7.050000000000001,14.450000000000001
2015,9,FHV,219426,27984,4.2,
2015,9,Taxi,423986,17455,7.1,14.85
2015,10,FHV,276946,35517,4.25,
2015,10,Taxi,449842,17870,7.199999999999999,15.3
2015,11,FHV,277281,36267,4.1499999999999995,
2015,11,Taxi,428075,17768,7.050000000000001,16.65
2015,12,FHV,286734,36822,4.199999999999999,
2015,12,Taxi,421566,17671,7.1,15.649999999999999
2016,1,FHV,274539,36569,3.95,
2016,1,Taxi,398437,16892,7.0,13.95
2016,2,FHV,325096,37741,4.3,
2016,2,Taxi,444563,17561,7.15,13.45
2016,3,FHV,310107,36817,4.2,
2016,3,Taxi,444736,17596,7.15,13.8
2016,4,FHV,337938,39283,4.2749999999999995,
